Unnamed: 0,URL,Grade Accepted,Bank,Product,Proxy Used,Status,Clear Conditions,Polite Employee,Availability,Convenience,City,Date,Review,Grade,sentiment,NEUTRAL,POSITIVE,NEGATIVE
0,https://www.banki.ru/services/responses/bank/response/12623892,False,Совкомбанк,кредитная карта,False,good,3,3,3,3,Пермь (Пермский край),13.10.2025 10:35,"Летом банк увеличил мне лимит рассрочки по карте Халва, хотя мне этого не требовалось, а 3 октября прислал мне смс, что раз я долго не пользуюсь картой, то лимит не сохранится, если не сделаю любую покупку до 7 октября. Меня это вполне устраивало, чтобы не ходить с паспортом в банк за уменьшением. 13 октября я зашел в личный кабинет на сайте и увидел, что лимит не изменён. Не найдя никаких механизмов его изменения непосредственно в личном кабинете, открыл чат, где после короткого опроса ""по цели визита"" бот переключил меня на Егора С., который отметил, ""что для клиентов, которые уменьшали лимит по карте Халва по своей инициативе, банк рассматривать возможность увеличения лимита не будет"".

На что я спросил, что делать, если банк обещал сам уменьшить, но не стал? После длительной паузы Егор лишь уточнил лимит, до какого будем снижать и продолжил обслуживание. С одной стороны, вопрос решился без посещения офиса, с другой, банк не выполнил своё обещание и подвел меня к ультимативной заявке ""со стороны клиента"". Просьба научить сотрудников смотреть на ситуацию в целом, раз уж вы ставите клиентов перед серьезным выбором. Скриншоты переписки прилагаю. ",3,NEUTRAL,0.8186123371124268,0.147455558180809,0.033932089805603
3,https://www.banki.ru/services/responses/bank/response/12623895,False,Альфа-Банк,дебетовая карта,False,good,3,3,3,3,Магнитогорск,13.10.2025 10:36,"Сотрудница Альбина, хочу выразить огромную благодарность за хорошее обслуживание! Она все очень быстро и четко оформила, очень вежливая женщина. Оставила яркие впечатлени, отличная работа! Это редкий случай, когда сотрудник банка вызывает такое доверие и оставляет исключительно положительное впечатление. Спасибо за такой сервис! ",5,POSITIVE,0.0150313284248113,0.9813822507858276,0.003586487378925
5,https://www.banki.ru/services/responses/bank/response/12623897,False,Яндекс Банк,все продукты,False,good,1,1,1,1,Копейск (Челябинская область),13.10.2025 10:37,"Яндекс банк обманывает с акцией 2000 за отзыв на банки ру, в условиях акции сказано разместить отзыв и чтоб он был либо зачтен либо была соответсвующая надпись от модератора, отзыв есть,

модератор принял отзыв а 2000 Яндекс начислять не хочет, документы все прикрепляю, было мнение положительное после этой акции поменяла свое мнение о банке! ",0,POSITIVE,0.0331840515136718,0.9579459428787231,0.0088700298219919
6,https://www.banki.ru/services/responses/bank/response/12623898,False,Банк Синара,вклады,False,good,3,3,3,3,Екатеринбург (Свердловская область),13.10.2025 10:37,"09.10.2025 обратился в службу заботы о клиентах в чате интернет банка с вопросом по накопительному счету Курс на мечту .

Специалист Ирина предоставила подробную консультауию по моему вопросу. Вопрос касался срока действия счета , информация была необходима для дальнейшего планирования .Хочу оставить положительный отзыв .Спасибо .  ",5,POSITIVE,0.0151251405477523,0.981265127658844,0.0036097588017582
7,https://www.banki.ru/services/responses/bank/response/12623899,False,ВТБ,дебетовая карта,False,good,3,3,3,3,Липецк (Липецкая область),13.10.2025 10:37,"Добрый день!

я хочу выразить благодарность клиентскому менеджеру М-ой Ангелине О.! Я обратился для открытия вклада.Так же сразу перевел пенсию,сотрудник все рассказала и помогла .

Сотрудник знает свою работу, очень вежливая и трудолюбивая. буду всем рекомендовать ваше отделение для обслуживания  ",5,POSITIVE,0.0149922370910644,0.9814307689666748,0.0035769329406321
8,https://www.banki.ru/services/responses/bank/response/12623900,False,Альфа-Банк,дебетовая карта,False,good,2,3,3,3,Реж (Свердловская область),13.10.2025 10:37,"Отличная помощь! Случайно обнаружила плату за уведомления, обратилась в онлайн‑чат в приложении — вопрос быстро решили и вернули комиссию на мой счёт.

Вежливо, оперативно и профессионально. Спасибо онлайн-поддержке — через онлайн‑чат в приложении вернули комиссию за уведомления. Всё решено оперативно. ",5,POSITIVE,0.0163969900459051,0.9796675443649292,0.0039354870095849
11,https://www.banki.ru/services/responses/bank/response/12623903,False,Альфа-Банк,дебетовая карта,False,good,3,3,3,3,Братск,13.10.2025 10:38,"списали у меня у меня 399 рублей но как только я подал заявление на возвращение денежных средств, моментально ответили и сразу помогли мне решить проблему,в целом я очень доволен банком всегда помогут быстро и качественно решать проблемы за это я обожаю этот банк и готов пользоваться им всю жизнь!!! ",5,POSITIVE,0.0150227583944797,0.9813929200172424,0.0035843823570758
12,https://www.banki.ru/services/responses/bank/response/12623904,True,Альфа-Банк,дебетовая карта,False,good,1,2,1,2,Магнитогорск (Челябинская область),13.10.2025 10:38,"Мой отзыв связан с неприятной ситуацией, случившейся с акцией банка ""Деньги вам и друзьям"".  В мобильном приложении банка я увидел баннер, на котором было объявлено, что до 10 октября я могу пригласить друга оформить дебетовую карту и получу за это 4000 рублей. Нужный человек нашёлся, мы договорились и я 03.10 отправил ей свою уникальную ссылку, представленную в приложении. Она назначила встречу с представителем на 06.10, забрала карту и сделала по ней первую покупку.  И вот выплата человеку, которого я пригласил, уже пришла, а о моей выплате ни слуху, ни духу. Я опять обратился в чат поддержки, на что мне ответили по итогу, что карту оформили якобы не по моей ссылке! Я подумал, что это невозможно и сказал, что выплата моему другу уже пришла, кто тогда её мог пригласить, если не я. На это мне ответили, что моему другу нужно также обратиться в чат поддержки и уточнить, за что была выплата. 'Ну хорошо"" - подумал я, и написал ей.

В её чате поддержки сказали, что выплата пришла от пригласившего Р-на Марата Г. Я подумал, что это невероятно, потому что это мой отец!!! И он никак не мог пригласить моего друга, видимо на технических неполадках рекомендации могли придти не на того человека, иначе я не могу этого объяснить. Объяснив всю ситуацию отцу, на которого пришла МОЯ рекомендация, что случилась такая ситуация, он был в недоумении, потому что он не особо пользуется альфа банком и конечно никому не мог отправить хоть какую-то рекомендацию от этого банка. Мы с отцом начали параллельно писать в чаты поддержки с наших мобильных приложений о том, что произошла путаница в зачислении приглашения, на что сотрудники составили два обращения, по одному с каждого личного кабинета. На этом история могла и закончиться положительным исходом, но и тут альфа банк произвел подставу, ответив на обращения, что рекомендация была оформлена не по моей ссылке🫠. В общем в моей ситуации не разобрались и получилось очень неприятно, запустили акцию, а рекомендация приходит на других людей. И ладно бы отцу засчиталось за эту рекомендацию также 4000 рублей, но в его истории она отмечена ценой в 1000р, то есть в 4 раза меньше. Я вообще в недоумении, как так получилось. ",1,NEGATIVE,0.1807019263505935,0.0678584948182106,0.7514395117759705
13,https://www.banki.ru/services/responses/bank/response/12623905,True,Яндекс Банк,кредитная карта,False,good,3,3,3,3,Гатчина (Санкт-Петербург и область),13.10.2025 10:38,"При обращение в поддержку Яндекса по закрытию сплита возникали сложности, при обращение обозначили срок в 2 недели, необходимо было закрыть для одобрении другого продукта,

закрыли раньше на неделю после обращения в поддержку, буквально за неделю счет был закрыт,

хочу поблагодарить поддержку за оперативное решение вопроса! ",5,POSITIVE,0.0152450175955891,0.9811153411865234,0.003639651229605
14,https://www.banki.ru/services/responses/bank/response/12623906,False,Альфа-Банк,все продукты,False,good,3,3,3,3,Копейск,13.10.2025 10:39,"Я очень доволен уровнем обслуживания в Альфа-Банке. Вся команда техподдержки оказалась профессиональной, внимательной и оперативной. Они быстро помогли мне открыть дополнительный счет, подробно объяснили все шаги и ответили на все мои вопросы. Особенно понравилось, что сотрудники были вежливы и готовы помочь в любой ситуации. Спасибо за качественную поддержку! ",5,POSITIVE,0.0150329740718007,0.9813801646232604,0.0035868885461241
