URL,Grade,Grade Accepted,Bank,Review,Product,Proxy Used,Status,Clear Conditions,Polite Employee,Availability,Convenience,City,Date
https://www.banki.ru/services/responses/bank/response/12623892,3,False,Unknown,"Летом банк увеличил мне лимит рассрочки по карте Халва, хотя мне этого не требовалось, а 3 октября прислал мне смс, что раз я долго не пользуюсь картой, то лимит не сохранится, если не сделаю любую покупку до 7 октября. Меня это вполне устраивало, чтобы не ходить с паспортом в банк за уменьшением. 13 октября я зашел в личный кабинет на сайте и увидел, что лимит не изменён. Не найдя никаких механизмов его изменения непосредственно в личном кабинете, открыл чат, где после короткого опроса ""по цели визита"" бот переключил меня на Егора С., который отметил, ""что для клиентов, которые уменьшали лимит по карте Халва по своей инициативе, банк рассматривать возможность увеличения лимита не будет"".

На что я спросил, что делать, если банк обещал сам уменьшить, но не стал? После длительной паузы Егор лишь уточнил лимит, до какого будем снижать и продолжил обслуживание. С одной стороны, вопрос решился без посещения офиса, с другой, банк не выполнил своё обещание и подвел меня к ультимативной заявке ""со стороны клиента"". Просьба научить сотрудников смотреть на ситуацию в целом, раз уж вы ставите клиентов перед серьезным выбором. Скриншоты переписки прилагаю. ",Отзывы о кредитных картах Совкомбанка,False,good,3,3,3,3,Пермь (Пермский край),13.10.2025 10:35
https://www.banki.ru/services/responses/bank/response/12623893,5,True,"Отличный банк – отзыв о Камкомбанке от ""user-754221728667"" | Банки.ру","Сегодня 13.10.2025 в 10:07 была в офисе камкомбанка по адресу Хасана туфана 29б. Терминал направил в 5 окно, где меня встретила Н-ва Айгуль Ф. сотрудник представилась и уточнила цель визита, я пришла снять проценты с двух счетов. Специалист очень быстро провела мою операцию, сделала расход по счету, вежливо показала где подписать ордер, перенаправила в кассу.

Также у меня был вопрос какие ставки на сегодняшний день, Айгуль подробно рассказала о всех продуктах банка, посоветовала вклады с наиболее высокой ставкой. меня заинтересовали условия вклада ""прибыльный"", решила открыть его. Очень быстро подписали договор, внесла деньги.

Пробыла в офисе всего 10 минут. Спасибо  ",Отзывы о вкладах Камкомбанка,False,good,3,3,3,3,Набережные Челны (Республика Татарстан),13.10.2025 10:36
https://www.banki.ru/services/responses/bank/response/12623894,5,False,Unknown,"Здравствуйте Очень помогли с вопросом о подключении семейной Альфа смарт-подписки. Возник вопрос об оплате, каким образом и когда снимется оплата. И чуть позже, уже непосредственно при подключении , когда что-то пошло не так. - ответили подробно что нужно сделать, чтоб подключение прошло без проблем.  ",Отзывы о дебетовых картах Альфа-Банка,False,good,3,3,3,3,Улан-Удэ,13.10.2025 10:36
https://www.banki.ru/services/responses/bank/response/12623895,5,False,"Заказ карты – отзыв о Альфа-Банке от ""user-237323044866"" | Банки.ру","Сотрудница Альбина, хочу выразить огромную благодарность за хорошее обслуживание! Она все очень быстро и четко оформила, очень вежливая женщина. Оставила яркие впечатлени, отличная работа! Это редкий случай, когда сотрудник банка вызывает такое доверие и оставляет исключительно положительное впечатление. Спасибо за такой сервис! ",Отзывы о дебетовых картах Альфа-Банка,False,good,3,3,3,3,Магнитогорск,13.10.2025 10:36
https://www.banki.ru/services/responses/bank/response/12623896,5,True,"Благодарность – отзыв о Камкомбанке от ""user-449123044941"" | Банки.ру","Благодарю за оперативность. 13.10.2025. 10.13. Санкт- Петербург,Энгельса 143/1. Проводилась операция по обмену , рублей в доллары.

Сотрудница Очень Внимательная Компетентная и Отзывчевая. Д-на К.Е. Всё занело около 5 минут.

Про Банк услышал впервые, приятно удивлён, по Сравнс другими банками. Буду Рекомендовать  ",Отзывы о продуктах Камкомбанка,False,good,3,3,3,3,Санкт-Петербург,13.10.2025 10:36
https://www.banki.ru/services/responses/bank/response/12623897,0,False,"Обман – отзыв о Яндекс Банке от ""Katusha2010.1997"" | Банки.ру","Яндекс банк обманывает с акцией 2000 за отзыв на банки ру, в условиях акции сказано разместить отзыв и чтоб он был либо зачтен либо была соответсвующая надпись от модератора, отзыв есть,

модератор принял отзыв а 2000 Яндекс начислять не хочет, документы все прикрепляю, было мнение положительное после этой акции поменяла свое мнение о банке! ",Отзывы о продуктах Яндекс Банка,False,good,1,1,1,1,Копейск (Челябинская область),13.10.2025 10:37
https://www.banki.ru/services/responses/bank/response/12623898,5,False,"Отзыв на предоставленную консультацию – отзыв о Банке Синара от ""user-513923012635"" | Банки.ру","09.10.2025 обратился в службу заботы о клиентах в чате интернет банка с вопросом по накопительному счету Курс на мечту .

Специалист Ирина предоставила подробную консультауию по моему вопросу. Вопрос касался срока действия счета , информация была необходима для дальнейшего планирования .Хочу оставить положительный отзыв .Спасибо .  ",Отзывы о вкладах Банка Синара,False,good,3,3,3,3,Екатеринбург (Свердловская область),13.10.2025 10:37
https://www.banki.ru/services/responses/bank/response/12623899,5,False,"Благодарность – отзыв о ВТБ от ""user-454123044970"" | Банки.ру","Добрый день!

я хочу выразить благодарность клиентскому менеджеру М-ой Ангелине О.! Я обратился для открытия вклада.Так же сразу перевел пенсию,сотрудник все рассказала и помогла .

Сотрудник знает свою работу, очень вежливая и трудолюбивая. буду всем рекомендовать ваше отделение для обслуживания  ",Отзывы о дебетовых картах ВТБ,False,good,3,3,3,3,Липецк (Липецкая область),13.10.2025 10:37
https://www.banki.ru/services/responses/bank/response/12623900,5,False,Unknown,"Отличная помощь! Случайно обнаружила плату за уведомления, обратилась в онлайн‑чат в приложении — вопрос быстро решили и вернули комиссию на мой счёт.

Вежливо, оперативно и профессионально. Спасибо онлайн-поддержке — через онлайн‑чат в приложении вернули комиссию за уведомления. Всё решено оперативно. ",Отзывы о дебетовых картах Альфа-Банка,False,good,2,3,3,3,Реж (Свердловская область),13.10.2025 10:37
https://www.banki.ru/services/responses/bank/response/12623901,5,True,"Благодарность – отзыв о Россельхозбанке от ""user-299722095235"" | Банки.ру","Здравствуйте! 13.10.2025 года в очередной раз пришла в офис Россельхозбанка, который расположен по адресу: с. Мошенское, ул. Физкультуры, д. 12. В данный офис хожу довольно часто пользуюсь их банкоматом. А так же я являюсь клиентом этого банка. Расположен он близко от моего дома, что очень удобно.

Менеджер Елена предложила мне открыть накопительный счет, так как у них сейчас проходит акция по накопительным счетам. Так же она мне рассказала про другие продукты банка: вклады, кредитные карты, платежный стикер.

Мне больше всего подошёл продукт накопительный счет. Подошли условия по данному продукту. Его мы и открыли. Об служили меня быстро в течении 10 минут. Нравиться обслуживание в данном банке.  ",Отзывы о вкладах Россельхозбанка,False,good,3,3,3,3,Мошенское (Новгородская область),13.10.2025 10:38
