,URL,Grade,Grade Accepted,Bank,Review,Product,Proxy Used,Status,Clear Conditions,Polite Employee,Availability,Convenience,City,Date
0,https://www.banki.ru/services/responses/bank/response/12622410,0,False,Альфа-Банк,"11.10.25 была списана комиссия за подписку Альфа-смарт в сумме 399 руб. 12.10 я это обнаружила, возл...",дебетовая карта,False,good,3,3,3,3,Ярославль (Ярославская область),12.10.2025 13:40
1,https://www.banki.ru/services/responses/bank/response/12622411,5,False,Альфа-Банк,"Обратилась в отделение банка для оформления перевода получения пенсии в Альфа банк.
Сотрудник помог ...",все продукты,False,good,3,3,3,3,Уфа,12.10.2025 13:40
2,https://www.banki.ru/services/responses/bank/response/12622412,5,False,Совкомбанк,"Я пользуюсь картой ""халва"" с 2020 года. Мне очень нравится эта карта . Очень удобная рассрочка . Нес...",кредитная карта,False,good,3,3,3,3,Завитинск,12.10.2025 13:40
4,https://www.banki.ru/services/responses/bank/response/12622414,0,False,Банк Ozon,Светлана в 12:56 12.10 помог мне отменить ошибочное обращение. Я обратился к ним в чат для помощи в ...,дебетовая карта,False,good,3,3,2,3,Ставрополь,12.10.2025 13:41
5,https://www.banki.ru/services/responses/bank/response/12622415,0,False,Яндекс Банк,"Пользуюсь Яндекс Pay уже давно, в основном оплачиваю по QR-коду — быстро и удобно, особенно когда не...",дебетовая карта,False,good,3,3,3,3,Казань,12.10.2025 13:41
6,https://www.banki.ru/services/responses/bank/response/12622416,5,False,Альфа-Банк,5 сентября я пыталась перевести средства со своей карты Альфа-Банка на карту родственника в другом б...,дебетовая карта,False,good,3,3,3,3,Екатеринбург (Свердловская область),12.10.2025 13:41
7,https://www.banki.ru/services/responses/bank/response/12622417,5,False,Альфа-Банк,"Представитель банка заранее позвонил и в назначенный интервал был на месте, и даже немного подождал ...",дебетовая карта,False,good,3,3,3,3,Нижний Новгород,12.10.2025 13:43
8,https://www.banki.ru/services/responses/bank/response/12622418,0,False,Банк Ozon,Помогли решить проблему с активацией дебетовой OZON карты. Консультанты быстро определили проблему и...,дебетовая карта,False,good,3,3,3,3,Ухта,12.10.2025 13:44
10,https://www.banki.ru/services/responses/bank/response/12622420,5,False,Альфа-Банк,"Хорошее приложение, удобный понятный интерфейс, большой кэшбэк, переводы без комиссии, кредитная кар...",все продукты,False,good,3,3,3,3,Ханты-Мансийск,12.10.2025 13:45
13,https://www.banki.ru/services/responses/bank/response/12622423,5,False,Альфа-Банк,"Пользуясь услугами банка уже несколько лет, ни разу не пожалела о своём выборе, особенно впечатлила ...",дебетовая карта,False,good,3,3,3,3,Калуга,12.10.2025 13:46
14,https://www.banki.ru/services/responses/bank/response/12622424,0,False,Альфа-Банк,"Однажды столкнулся с ситуацией, что мои документы попали в какие то организации, которые начисляли м...",все продукты,False,good,3,3,3,3,Бийск,12.10.2025 13:47
15,https://www.banki.ru/services/responses/bank/response/12622425,5,False,Камкомбанк,"В день вылета потребовалось купить доллар, но в воскресенье, к тому же нового образца оказалось не т...",все продукты,False,good,3,3,3,3,Москва,12.10.2025 13:47
16,https://www.banki.ru/services/responses/bank/response/12622426,0,False,Московском кредитном,"Прийдя в МКБ банк на академика Янгеля, для переоформления вклада. Был очень приятно удивлён новым ре...",вклады,False,good,3,3,3,3,Москва,12.10.2025 13:47
17,https://www.banki.ru/services/responses/bank/response/12622427,0,False,Альфа-Банк,"17 марта я заказал дебетовую карту по советам друзей ,в 15:00 к моему дому приехал сотрудник банка, ...",дебетовая карта,False,good,3,3,3,3,Железногорск (Курская область),12.10.2025 13:47
18,https://www.banki.ru/services/responses/bank/response/12622428,5,False,Альфа-Банк,"Пользуюсь Альфа-Банком много лет.На высшем уровне работают и мобильное приложение, и служба поддержк...",все продукты,False,good,3,3,3,3,Каменск-Уральский,12.10.2025 13:48
20,https://www.banki.ru/services/responses/bank/response/12622430,5,False,Яндекс Банк,"Яндекс банк, предоставляет отличные условия для покупки товаров, через приложение Яндекс Маркет с ра...",кредитная карта,False,good,3,3,3,3,Москва,12.10.2025 13:49
21,https://www.banki.ru/services/responses/bank/response/12622431,5,False,Яндекс Банк,"Воспользовался картой Сплит, оплата прошла легко, возник вопрос по какому графику будут производится...",кредитная карта,False,good,2,3,3,3,Челябинск,12.10.2025 13:50
22,https://www.banki.ru/services/responses/bank/response/12622432,0,False,Альфа-Банк,"Добрыв день.Хочу выразить благодарность сотрудникам банка.У меня случилась такая история,что после о...",все продукты,False,good,3,3,3,3,Смоленск (Смоленская область),12.10.2025 13:50
23,https://www.banki.ru/services/responses/bank/response/12622433,0,False,Альфа-Банк,"Здравствуйте. 8 октября возникло полное недопонемание с банком, из-за написания моего отзыва и я обр...",дебетовая карта,False,good,2,3,3,3,Москва,12.10.2025 13:50
24,https://www.banki.ru/services/responses/bank/response/12622434,5,False,Яндекс Банк,"нравится сервис Яндекс плюса, в том числе Яндекс Pay , удобно платить взаимодействие с маркетом , мн...",дебетовая карта,False,good,3,3,3,3,Рязань,12.10.2025 13:51
25,https://www.banki.ru/services/responses/bank/response/12622435,1,True,Т-Банк," Также на мой вопрос о том, чтобы пересчитали комиссию за период, когда не было уведомлений, банк та...",дебетовая карта,False,good,1,2,1,3,Саратов (Саратовская область),12.10.2025 13:51
26,https://www.banki.ru/services/responses/bank/response/12622436,5,False,Альфа-Банк,2 октября переводил со своей карты Альфа‑Банка на карту друга в другом банке и получил блокировку ка...,все продукты,False,good,3,3,3,3,Москва,12.10.2025 13:52
27,https://www.banki.ru/services/responses/bank/response/12622437,0,False,Камкомбанк,"Впервые обратившись в отделение банка Камкомбанк, я сделал для себя вывод, что банк достоин уважения...",все продукты,False,good,3,3,3,3,Москва,12.10.2025 13:52
30,https://www.banki.ru/services/responses/bank/response/12622440,5,False,Альфа-Банк,Спасибо большое за быстрый ответ на интересующий вопрос. Я клиент новый и многое ещё не знаю. Но бан...,дебетовая карта,False,good,3,3,3,3,Ярославль,12.10.2025 13:53
31,https://www.banki.ru/services/responses/bank/response/12622441,0,False,Банк Ozon,Обратился с вопросом о перевыпуск банковской карты.Молодой человек(оператор) по-моему его имя Кирил ...,дебетовая карта,False,good,3,3,3,3,Калининград (Калининградская область),12.10.2025 13:54
32,https://www.banki.ru/services/responses/bank/response/12622442,5,False,Альфа-Банк,"Заказал дебетовую карту, приехали и все быстро сделали, оформили и все рассказали. Карту выдовала оч...",дебетовая карта,False,good,3,3,3,3,Киров,12.10.2025 13:54
33,https://www.banki.ru/services/responses/bank/response/12622443,5,False,Фора-Банк,"Здравствуйте, Никому не оставлял ВИП-Благодарность, но и этот момент настал.  Габелия Юлия Викторона...",все продукты,False,good,3,3,3,3,Москва,12.10.2025 13:56
34,https://www.banki.ru/services/responses/bank/response/12622444,0,False,Камкомбанк,"Офис в Москве, Парк победы, 2. Большое спасибо за Вашу работу. Покупка валюты всегда без проблем. 1....",все продукты,False,good,3,3,3,3,Москва,12.10.2025 13:56
36,https://www.banki.ru/services/responses/bank/response/12622446,5,False,Альфа-Банк,"Индивидуальный и внимательный подход к клиентам. Мне нравится Альфа-Банк за то, что сотрудники всегд...",дебетовая карта,False,good,3,3,3,3,Коломна,12.10.2025 13:57
37,https://www.banki.ru/services/responses/bank/response/12622447,0,False,Совкомбанк,12.10 обратилась в чат поддержки в мобильном приложении для выяснения вопросов о баллах-бонусах. Не ...,кредитная карта,False,good,3,3,3,3,Дзержинск (Нижегородская область),12.10.2025 13:57
38,https://www.banki.ru/services/responses/bank/response/12622448,5,False,Альфа-Банк,"Несколько раз обращалась в чат приложения альфа банка. Всегда исчерпывающе, оперативно и в полном об...",все продукты,False,good,3,3,3,3,Казань,12.10.2025 13:58
39,https://www.banki.ru/services/responses/bank/response/12622449,5,False,Яндекс Банк,"Не так давно, начала пользоваться картой Яндекс Банка. Открыла карту. Первое что хотелось узнать это...",дебетовая карта,False,good,3,3,3,3,Саранск,12.10.2025 13:58
40,https://www.banki.ru/services/responses/bank/response/12622450,4,True,Альфа-Банк,"Была сильно обрадована 10 сентября супероперативной помощью специалиста банка в чате Антонины, котор...",кредитная карта,False,good,3,3,3,2,Москва,12.10.2025 13:59
41,https://www.banki.ru/services/responses/bank/response/12622451,5,False,Альфа-Банк,"Только пришла карта(10.10.2025)
Пользовался ранее другими картами,если честно надоело,все однотонно,...",дебетовая карта,False,good,3,3,3,3,Нижний Новгород,12.10.2025 13:59
42,https://www.banki.ru/services/responses/bank/response/12622452,0,False,Альфа-Банк,"До определенного времени я заходила в банк через браузер, было удобно, но в какой-то момент банк пер...",все продукты,False,good,3,3,3,0,Петрозаводск (Республика Карелия),12.10.2025 13:59
45,https://www.banki.ru/services/responses/bank/response/12622455,0,False,Альфа-Банк,"12 октября я перешла по ссылке своей подруги, которая уже давно пользуется услугами Альфа-Банка, что...",дебетовая карта,False,good,3,3,3,3,Нижний Новгород (Нижегородская область),12.10.2025 14:02
46,https://www.banki.ru/services/responses/bank/response/12622456,0,False,Яндекс Банк,"Открыл Яндекс карту для оплаты такси и оплату их сервисов , решил пользоваться как дебетовой, переве...",все продукты,False,good,1,1,1,1,Волгоград (Волгоградская область),12.10.2025 14:02
